Tree Species,Common Name,Diameter at Breast Height (in Feet),Number of Trunks,Location Type,Location
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15271592360, -88.25708727630)"
Acer rubrum,"maple, red",4,1,Street,"(40.15271902500, -88.25750447180)"
Fraxinus americana,"ash, white",6,1,Street,"(40.15259920500, -88.25730004840)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15272370180, -88.25689372910)"
Acer rubrum,"maple, red",3,1,Street,"(40.15272229860, -88.25730581390)"
Acer rubrum,"maple, red",3,1,Street,"(40.15271915300, -88.25770019230)"
Acer rubrum,"maple, red",3,1,Street,"(40.15259493390, -88.25769446320)"
Acer rubrum,"maple, red",3,1,Street,"(40.15259593230, -88.25750020840)"
Liquidambar styraciflua,"sweetgum, American",19,1,Street,"(40.09250359630, -88.28810162220)"
Fraxinus pennsylvanica,"ash, green",17,1,Street,"(40.09309492260, -88.28699083920)"
Tilia cordata,"linden, littleleaf",19,1,Street,"(40.09307248460, -88.28710219380)"
Tilia cordata,"linden, littleleaf",19,1,Street,"(40.09293529170, -88.28726048470)"
Fraxinus pennsylvanica,"ash, green",8,1,Street,"(40.09287002740, -88.28722832440)"
Tilia cordata,"linden, littleleaf",12,1,Street,"(40.09279350810, -88.28719613600)"
Acer platanoides,"maple, Norway",14,1,Street,"(40.09265623590, -88.28715523170)"
Fraxinus pennsylvanica,"ash, green",24,1,Street,"(40.09253023370, -88.28715238600)"
Tilia cordata,"linden, littleleaf",13,1,Street,"(40.09198126480, -88.28729043670)"
Fraxinus pennsylvanica,"ash, green",20,1,Street,"(40.09224452170, -88.28729025930)"
Fraxinus pennsylvanica,"ash, green",27,1,Street,"(40.09242902110, -88.28729013500)"
Quercus bicolor,"oak, swamp white",11,1,Street,"(40.09286341150, -88.28757403380)"
Quercus rubra,"oak, northern red",20,1,Street,"(40.09329789260, -88.28609705280)"
Liquidambar styraciflua,"sweetgum, American",20,1,Street,"(40.09256881000, -88.28800489500)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.09279981850, -88.28636797040)"
Quercus bicolor,"oak, swamp white",9,1,Street,"(40.09213038360, -88.28884599190)"
Ulmus x,"elm, hybrid",7,1,Street,"(40.09205844650, -88.28902182000)"
Fraxinus pennsylvanica,"ash, green",28,1,Street,"(40.09190551300, -88.28922993970)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.09182453120, -88.28930029720)"
Quercus rubra,"oak, northern red",7,1,Street,"(40.09161305100, -88.28938246180)"
Fraxinus pennsylvanica,"ash, green",29,1,Street,"(40.09166262290, -88.28951428300)"
Acer saccharum,"maple, sugar",15,1,Street,"(40.09175484890, -88.28948784610)"
Fraxinus pennsylvanica,"ash, green",30,1,Street,"(40.09200681050, -88.28930897230)"
Quercus bicolor,"oak, swamp white",10,1,Street,"(40.09222265330, -88.28893382270)"
Gleditsia triacanthos inermis,"honeylocust, thornless",27,1,Street,"(40.09227437230, -88.28879317790)"
Liriodendron tulipifera,tuliptree,9,1,Street,"(40.09234182400, -88.28866127950)"
Fraxinus pennsylvanica,"ash, green",34,1,Street,"(40.09238003520, -88.28858801790)"
Gleditsia triacanthos inermis,"honeylocust, thornless",25,1,Street,"(40.09266101950, -88.28786711700)"
Fraxinus pennsylvanica,"ash, green",8,1,Street,"(40.09154497980, -88.28875644570)"
vacant site large,"vacant site, large",0,0,Street,"(40.09320538700, -88.28471575550)"
Quercus bicolor,"oak, swamp white",5,1,Street,"(40.09256365320, -88.28622609120)"
Acer rubrum,"maple, red",12,1,Street,"(40.09229721310, -88.28622902710)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15260639160, -88.25708296280)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15261980970, -88.25686662140)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15233064660, -88.25674921340)"
Ulmus pumila,"elm, Siberian",4,1,Street,"(40.15212736790, -88.25674207230)"
Acer rubrum,"maple, red",2,1,Street,"(40.15254067530, -88.25675191100)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15204830060, -88.25672892480)"
