species,population
Acer rubrum,2562
Acer saccharum,1663
Acer saccharinum,1555
Quercus rubra,1442
Quercus bicolor,1239
Fraxinus americana,1105
Fraxinus pennsylvanica,916
Tilia cordata,747
Acer platanoides,706
Malus spp.,592
Acer x freemanii,578
Quercus macrocarpa,567
Liquidambar styraciflua,561
Gleditsia triacanthos inermis,487
Pyrus calleryana,460
Celtis occidentalis,457
Quercus palustris,428
Platanus occidentalis,423
Liriodendron tulipifera,382
Tilia americana,293
Quercus muehlenbergii,235
Ginkgo biloba,235
Picea pungens,210
Crataegus spp.,202
Cercis canadensis,193
Taxodium distichum,183
Ulmus pumila,174
Stump,160
Pinus strobus,158
Ulmus americana,148
Quercus alba,148
Picea abies,133
Prunus spp.,127
Acer campestre,126
Betula nigra,113
Thuja occidentalis,108
Quercus robur,106
Ulmus x,99
Cornus florida,92
Ulmus parvifolia,88
Quercus imbricaria,79
Corylus colurna,76
Gymnocladus dioicus,76
Juglans nigra,70
Platanus x acerifolia,69
Magnolia x soulangiana,67
Carpinus caroliniana,62
Morus alba,58
Nyssa sylvatica,53
Amelanchier spp.,45
Syringa reticulata,40
Prunus serotina,40
Juniperus virginiana,37
Juniperus spp.,37
Betula papyrifera,36
Fraxinus quadrangulata,35
Quercus coccinea,34
Acer tataricum ginnala,34
Eucommia ulmoides,33
Ostrya virginiana,31
Pinus nigra,30
Picea glauca,30
Acer palmatum,30
Cladrastis kentukea,29
Aesculus hippocastanum,26
Tsuga candensis,25
Catalpa speciosa,25
Pinus sylvestris,22
Alnus glutinosa,21
Zelkova serrata,20
Fagus sylvatica,19
Quercus lyrata,19
Syringa vulgaris,18
Acer miyabei,17
Aesculus glabra,17
Ulmus rubra,16
Phellodendron amurense,16
Cotinus coggygria,16
Pseudotsuga menziesii,14
Metasequoia glyptostroboides,14
Quercus pagoda,13
Cornus kousa,13
Quercus acutissima,13
Fagus grandifolia,13
Populus deltoides,13
Betula populifolia,11
Acer negundo,11
Tilia tomentosa,11
Quercus stellata,10
Retired,10
Fraxinus tomentosa,10
Abies balsamea,9
Pyrus communis,9
Quercus velutina,8
Robinia pseudoacacia,8
Rhus typhina,7
Ailanthus altissima,7
Paulownia tomentosa,6
Pinus mugo,6
Populus tremuloides,6
Malus pumila,5
Koelreuteria paniculata,5
Gleditsia triacanthos,4
Quercus laevis,4
Abies fraseri,4
Diospyros virginiana,4
Quercus phellos,4
Castanea mollissima,4
Betula pendula,3
Magnolia stellata,3
Pinus resinosa,3
Acer pensylvanicum,3
Ilex opaca,3
Prunus serrulata,3
Acer pseudoplatanus,3
Populus alba,3
Juglans cinerea,3
Acer griseum,3
Sorbus aucuparia,3
Prunus persica,3
Sassafras albidum,3
Cercidiphyllum japonicum,2
Salix matsudana,2
Magnolia virginiana,2
Salix discolor,2
Magnolia grandiflora,2
unknown tree,2
Abies concolor,2
Amelanchier canadensis,2
Carya illinoinensis,2
Alnus rugosa,2
Fraxinus nigra,2
Albizia julibrissin,2
Quercus shumardii,2
Pinus banksiana,2
Picea omorika,1
Salix babylonica,1
Fraxinus excelsior,1
Asimina triloba,1
Pinus bungeana,1
Sorbus americana,1
Cornus alternifolia,1
Musa acuminata,1
Quercus spp.,1
Picea orientalis,1
Cornus racemosa,1
Maclura pomifera,1
Larix decidua,1
Chamaecyparis pisifera,1
